Invoice/Item Number;Date;Store Number;Store Name;Address;City;Zip Code;Store Location;County Number;County;Category;Category Name;Vendor Number;Vendor Name;Item Number;Item Description;Pack;Bottle Volume (ml);State Bottle Cost;State Bottle Retail;Bottles Sold;Sale (Dollars);Volume Sold (Liters);Volume Sold (Gallons);Long;Lat
INV-17142600020;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11776;Black Velvet;12;750;;;12;94,2;9;2,37;-95.385111;40.761736
INV-17158500013;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1031100;American Vodkas;55;SAZERAC NORTH AMERICA;35315;Barton Vodka Pet;12;750;;;12;60,72;9;2,37;-93.603007;43.105833
INV-17168200021;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1011600;Straight Rye Whiskies;255;Infinium Spirits;27125;Templeton 6YR Rye;6;750;;;1;34,13;0,75;0,19;-93.801917;43.098696
INV-17142100002;2019-01-25 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1031100;American Vodkas;380;Phillips Beverage;37364;Phillips Vodka Mini;12;500;;;12;79,2;6;1,58;;
INV-17141600015;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1011200;Straight Bourbon Whiskies;55;SAZERAC NORTH AMERICA;21598;Ten High;6;1750;;;6;83,16;10,5;2,77;-95.040293;40.724008
INV-17141400018;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1011100;Blended Whiskies;65;Jim Beam Brands;24458;Kessler Blend Whiskey;6;1750;;;12;198;21;5,54;-95.037849;40.726808
INV-17142600040;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11774;Black Velvet;24;375;;;24;110,64;9;2,37;-95.385111;40.761736
INV-17141400010;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1062200;White Rum;35;BACARDI USA INC;43128;Bacardi Superior;6;1750;;;6;135;10,5;2,77;-95.037849;40.726808
INV-17141800014;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011100;Blended Whiskies;229;DEHNER DISTILLERY;26851;Blue Ox American Spirit Whiskey;12;1000;;;12;90;12;3,17;-95.027238;40.739231
INV-17141600002;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1062500;Flavored Rum;370;PERNOD RICARD USA;42716;Malibu Coconut Rum;12;750;;;12;134,88;9;2,37;-95.040293;40.724008
INV-17158500011;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1071100;Cocktails /RTD;35;BACARDI USA INC;56843;Bacardi Party Drinks Zombie;6;1750;;;6;62,82;10,5;2,77;-93.603007;43.105833
INV-17141800019;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1031100;American Vodkas;421;SAZERAC COMPANY  INC;36976;Nikolai Vodka;12;750;;;12;58,92;9;2,37;-95.027238;40.739231
INV-17168200010;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;434;LUXCO INC;13038;Canadian Reserve Whisky;6;1750;;;6;81;10,5;2,77;-93.801917;43.098696
INV-17158600013;2019-01-25 00:00:00;4780;Casey's General Store #3043 / Britt;576, N Main Ave;Britt;50423;POINT (-93.802043 43.102653);41;HANCOCK;1062200;White Rum;35;BACARDI USA INC;43126;Bacardi Superior;12;750;;;6;74,34;4,5;1,18;-93.802043;43.102653
INV-17142600024;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011100;Blended Whiskies;300;McCormick Distilling Co.;24706;Mccormick Blend Whiskey;12;750;;;12;63;9;2,37;-95.385111;40.761736
INV-17141400026;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1092100;Imported Distilled Spirit Specialty;421;SAZERAC COMPANY  INC;77487;Tortilla Gold Dss;12;1000;;;12;87,36;12;3,17;-95.037849;40.726808
INV-17142800003;2019-01-25 00:00:00;4937;ROCSTOP;1310 W Sheridan Ave;Shenandoah;51601;POINT (-95.38464 40.765869);73;PAGE;1081600;Whiskey Liqueur;421;SAZERAC COMPANY  INC;64864;Fireball Cinnamon Whisky;24;375;;;24;192;9;2,37;-95.38464;40.765869
INV-17142600027;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011100;Blended Whiskies;65;Jim Beam Brands;22788;Beam's 8 Star Bl Whiskey;6;1750;;;6;72;10,5;2,77;-95.385111;40.761736
INV-17168200005;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;10550;Black Velvet Toasted Caramel;12;750;;;12;121,56;9;2,37;-93.801917;43.098696
INV-17141400025;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1062400;Spiced Rum;259;Heaven Hill Brands;43028;Admiral Nelson Spiced Rum;6;1750;;;6;103,98;10,5;2,77;-95.037849;40.726808
INV-17141500001;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1901200;Special Order Items;421;SAZERAC COMPANY  INC;902574;HA Weller Special Reserve 7YR;12;750;;;1;13,5;0,75;0,19;-95.040293;40.724008
INV-17142400008;2019-01-25 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1011100;Blended Whiskies;260;DIAGEO AMERICAS;25608;Seagrams 7 Crown;6;1750;;;6;116,64;10,5;2,77;-95.385114;40.760282
INV-17158600007;2019-01-25 00:00:00;4780;Casey's General Store #3043 / Britt;576, N Main Ave;Britt;50423;POINT (-93.802043 43.102653);41;HANCOCK;1031100;American Vodkas;259;Heaven Hill Brands;35416;Burnetts Vodka 80prf;12;750;;;6;40,32;4,5;1,18;-93.802043;43.102653
INV-17142400015;2019-01-25 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1031100;American Vodkas;55;SAZERAC NORTH AMERICA;36650;Caliber Vodka;6;1750;;;6;62,28;10,5;2,77;-95.385114;40.760282
INV-17158500031;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19066;Jim Beam;12;750;;;4;63;3;0,79;-93.603007;43.105833
INV-17158700008;2019-01-25 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11777;Black Velvet;12;1000;;;12;119,4;12;3,17;-93.957384;42.99274
INV-17141800007;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011200;Straight Bourbon Whiskies;421;SAZERAC COMPANY  INC;16518;Ancient Age Bourbon;6;1750;;;6;106,2;10,5;2,77;-95.027238;40.739231
INV-17158700004;2019-01-25 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11788;Black Velvet;6;1750;;;12;188,16;21;5,54;-93.957384;42.99274
INV-17168200014;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11777;Black Velvet;12;1000;;;12;119,4;12;3,17;-93.801917;43.098696
INV-17141800036;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;10790;Crown Royal Vanilla;24;375;;;4;48;1,5;0,39;-95.027238;40.739231
INV-17158500025;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1031100;American Vodkas;260;DIAGEO AMERICAS;37998;Smirnoff 80prf;6;1750;;;6;132,78;10,5;2,77;-93.603007;43.105833
INV-17158500016;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1071100;Cocktails /RTD;395;PROXIMO;58875;Jose Cuervo Golden Margarita;6;1750;;;6;99,36;10,5;2,77;-93.603007;43.105833
INV-17142600044;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012400;Irish Whiskies;370;PERNOD RICARD USA;15644;Jameson;24;375;;;3;30,33;1,12;0,29;-95.385111;40.761736
INV-17142600038;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1062400;Spiced Rum;434;LUXCO INC;44658;Lady Bligh Spiced Rum;6;1750;;;6;99;10,5;2,77;-95.385111;40.761736
INV-17142800006;2019-01-25 00:00:00;4937;ROCSTOP;1310 W Sheridan Ave;Shenandoah;51601;POINT (-95.38464 40.765869);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11788;Black Velvet;6;1750;;;6;94,08;10,5;2,77;-95.38464;40.765869
INV-17141600008;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1031100;American Vodkas;297;Laird & Company;35918;Five O'Clock Vodka;6;1750;;;6;64,8;10,5;2,77;-95.040293;40.724008
INV-17168200015;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;55;SAZERAC NORTH AMERICA;12407;Canadian Ltd Whisky;12;1000;;;12;99;12;3,17;-93.801917;43.098696
INV-17142200015;2019-01-25 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1012100;Canadian Whiskies;300;McCormick Distilling Co.;12668;Canadian Woods Canadian Why;6;1750;;;6;85,44;10,5;2,77;;
INV-17141400009;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1081100;Coffee Liqueurs;370;PERNOD RICARD USA;67526;Kahlua Coffee;12;750;;;12;224,88;9;2,37;-95.037849;40.726808
INV-17158500012;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1031100;American Vodkas;55;SAZERAC NORTH AMERICA;35318;Barton Vodka;6;1750;;;6;62,28;10,5;2,77;-93.603007;43.105833
INV-17141600021;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1081200;Cream Liqueurs;300;McCormick Distilling Co.;65200;Tequila Rose Liqueur;12;750;;;6;89,94;4,5;1,18;-95.040293;40.724008
INV-17142700001;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011100;Blended Whiskies;65;Jim Beam Brands;24451;Kessler Blend Whiskey Mini;12;500;;;2;16,2;1;0,26;-95.385111;40.761736
INV-17141800022;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1062500;Flavored Rum;370;PERNOD RICARD USA;42717;Malibu Coconut Rum;12;1000;;;12;188,88;12;3,17;-95.027238;40.739231
INV-17141800035;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;10789;Crown Royal Vanilla;44;200;;;6;42,48;1,2;0,31;-95.027238;40.739231
INV-17141600001;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1062400;Spiced Rum;260;DIAGEO AMERICAS;43336;Captain Morgan Original Spiced;12;750;;;12;163,08;9;2,37;-95.040293;40.724008
INV-17141800015;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011100;Blended Whiskies;229;DEHNER DISTILLERY;28056;Copper Cross Hybrid Whiskey;6;750;;;6;157,5;4,5;1,18;-95.027238;40.739231
INV-17142200017;2019-01-25 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1031100;American Vodkas;434;LUXCO INC;36306;Hawkeye Vodka;12;750;;;12;60,12;9;2,37;;
INV-17141600010;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1031100;American Vodkas;421;SAZERAC COMPANY  INC;36976;Nikolai Vodka;12;750;;;12;58,92;9;2,37;-95.040293;40.724008
INV-17142400012;2019-01-25 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1081200;Cream Liqueurs;305;Mhw LTD;73052;Rumchata;12;375;;;12;126;4,5;1,18;-95.385114;40.760282
INV-17142600019;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012100;Canadian Whiskies;65;Jim Beam Brands;15248;Windsor Canadian PET;6;1750;;;6;85,5;10,5;2,77;-95.385111;40.761736
INV-17141400004;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1071100;Cocktails /RTD;55;SAZERAC NORTH AMERICA;57148;Chi-Chi's Margarita W/tequila;6;1750;;;6;55,56;10,5;2,77;-95.037849;40.726808
INV-17142600018;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19066;Jim Beam;12;750;;;12;189;9;2,37;-95.385111;40.761736
INV-17158500029;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1011400;Tennessee Whiskies;85;Brown Forman Corp.;26824;Jack Daniels Old #7 Black Label Square;24;375;;;4;45;1,5;0,39;-93.603007;43.105833
INV-17142600015;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;10793;Crown Royal Vanilla;6;1750;;;6;287,94;10,5;2,77;-95.385111;40.761736
INV-17141800009;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19476;Makers Mark;12;750;;;12;315;9;2,37;-95.027238;40.739231
INV-17142500005;2019-01-25 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1082000;Imported Cordials & Liqueurs;192;Mast-Jagermeister US, Inc;65256;Jagermeister Liqueur;12;750;;;12;224,16;9;2,37;-95.385114;40.760282
INV-17142600036;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1062400;Spiced Rum;259;Heaven Hill Brands;43028;Admiral Nelson Spiced Rum;6;1750;;;12;207,96;21;5,54;-95.385111;40.761736
INV-17141800023;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1062400;Spiced Rum;260;DIAGEO AMERICAS;43336;Captain Morgan Original Spiced;12;750;;;12;163,08;9;2,37;-95.027238;40.739231
INV-17142500002;2019-01-25 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1062400;Spiced Rum;259;Heaven Hill Brands;43028;Admiral Nelson Spiced Rum;6;1750;;;6;103,98;10,5;2,77;-95.385114;40.760282
INV-17142600058;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011100;Blended Whiskies;297;Laird & Company;23824;Five Star;24;375;;;6;18,84;2,25;0,59;-95.385111;40.761736
INV-17158600006;2019-01-25 00:00:00;4780;Casey's General Store #3043 / Britt;576, N Main Ave;Britt;50423;POINT (-93.802043 43.102653);41;HANCOCK;1062400;Spiced Rum;259;Heaven Hill Brands;43026;Admiral Nelson Spiced Rum;12;750;;;6;52,02;4,5;1,18;-93.802043;43.102653
INV-17142600060;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1022100;Mixto Tequila;55;SAZERAC NORTH AMERICA;89577;Montezuma Gold Tequila;12;1000;;;36;379,08;36;9,51;-95.385111;40.761736
INV-17141600003;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1011200;Straight Bourbon Whiskies;461;Skyy Spirits Inc;22121;Wild Turkey 81;12;750;;;6;102,6;4,5;1,18;-95.040293;40.724008
INV-17141400013;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11776;Black Velvet;12;750;;;12;94,2;9;2,37;-95.037849;40.726808
INV-17141800037;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;11347;Seagrams VO Canadian Whiskey;12;1000;;;4;59,96;4;1,05;-95.027238;40.739231
INV-17158500020;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19064;Jim Beam;24;375;;;24;198;9;2,37;-93.603007;43.105833
INV-17142600021;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011200;Straight Bourbon Whiskies;461;Skyy Spirits Inc;22156;Wild Turkey 101;12;750;;;12;252;9;2,37;-95.385111;40.761736
INV-17142200016;2019-01-25 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1062200;White Rum;434;LUXCO INC;45278;Paramount White Rum;6;1750;;;6;70,56;10,5;2,77;;
INV-17141800002;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11774;Black Velvet;24;375;;;24;110,64;9;2,37;-95.027238;40.739231
INV-17141800051;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1031200;American Flavored Vodka;205;E & J Gallo Winery;40193;New Amsterdam Pineapple;12;750;;;2;22,5;1,5;0,39;-95.027238;40.739231
INV-17141800012;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1011100;Blended Whiskies;65;Jim Beam Brands;24458;Kessler Blend Whiskey;6;1750;;;6;99;10,5;2,77;-95.027238;40.739231
INV-17141800040;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;395;PROXIMO;14208;Pendleton 1910;6;750;;;1;30;0,75;0,19;-95.027238;40.739231
INV-17142600034;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1081100;Coffee Liqueurs;370;PERNOD RICARD USA;67534;Kahlua Vanilla;12;750;;;12;224,88;9;2,37;-95.385111;40.761736
INV-17158500024;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1031100;American Vodkas;55;SAZERAC NORTH AMERICA;37938;Skol Vodka;6;1750;;;6;61,02;10,5;2,77;-93.603007;43.105833
INV-17158600009;2019-01-25 00:00:00;4780;Casey's General Store #3043 / Britt;576, N Main Ave;Britt;50423;POINT (-93.802043 43.102653);41;HANCOCK;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;10805;Crown Royal Regal Apple;24;375;;;6;72;2,25;0,59;-93.802043;43.102653
INV-17141400047;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1081600;Whiskey Liqueur;395;PROXIMO;86821;Old Camp Peach Pecan Whiskey;12;750;;;3;48,75;2,25;0,59;-95.037849;40.726808
INV-17141800053;2019-01-25 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1062400;Spiced Rum;395;PROXIMO;46504;Kraken Black Spiced Rum;12;750;;;1;15,68;0,75;0,19;-95.027238;40.739231
INV-17158500028;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1062200;White Rum;35;BACARDI USA INC;43124;Bacardi Superior;24;375;;;24;162;9;2,37;-93.603007;43.105833
INV-17142200008;2019-01-25 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1062400;Spiced Rum;259;Heaven Hill Brands;43026;Admiral Nelson Spiced Rum;12;750;;;12;104,04;9;2,37;;
INV-17142600023;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1011200;Straight Bourbon Whiskies;65;Jim Beam Brands;19067;Jim Beam;12;1000;;;12;226,68;12;3,17;-95.385111;40.761736
INV-17142600011;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1031100;American Vodkas;300;McCormick Distilling Co.;36886;Mccormick Vodka;12;750;;;12;59,64;9;2,37;-95.385111;40.761736
INV-17158500030;2019-01-25 00:00:00;4463;Casey's General Store #3031 / Garner;145 Us Hwy 18 W;Garner;50438;POINT (-93.603007 43.105833);41;HANCOCK;1082000;Imported Cordials & Liqueurs;192;Mast-Jagermeister US, Inc;65256;Jagermeister Liqueur;12;750;;;4;74,72;3;0,79;-93.603007;43.105833
INV-17168200009;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;300;McCormick Distilling Co.;12668;Canadian Woods Canadian Why;6;1750;;;6;85,44;10,5;2,77;-93.801917;43.098696
INV-17141600014;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1071100;Cocktails /RTD;55;SAZERAC NORTH AMERICA;57158;Chi-Chi's Strawberry Margarita W/tequila;6;1750;;;6;55,56;10,5;2,77;-95.040293;40.724008
INV-17158600008;2019-01-25 00:00:00;4780;Casey's General Store #3043 / Britt;576, N Main Ave;Britt;50423;POINT (-93.802043 43.102653);41;HANCOCK;1011100;Blended Whiskies;260;DIAGEO AMERICAS;25616;Seagrams 7 Crown PET Flask;12;750;;;6;67,5;4,5;1,18;-93.802043;43.102653
INV-17142600051;2019-01-25 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1081600;Whiskey Liqueur;421;SAZERAC COMPANY  INC;64864;Fireball Cinnamon Whisky;24;375;;;2;16;0,75;0,19;-95.385111;40.761736
INV-17142200005;2019-01-25 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1071100;Cocktails /RTD;395;PROXIMO;58838;Jose Cuervo Authentic Lime Margarita;6;1750;;;6;78,66;10,5;2,77;;
INV-17141600005;2019-01-25 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1031200;American Flavored Vodka;380;Phillips Beverage;41693;UV Blue Raspberry;12;750;;;6;58,5;4,5;1,18;-95.040293;40.724008
INV-17141400031;2019-01-25 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1012100;Canadian Whiskies;115;CONSTELLATION BRANDS INC;11774;Black Velvet;24;375;;;6;27,66;2,25;0,59;-95.037849;40.726808
INV-17168200003;2019-01-28 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1011100;Blended Whiskies;260;DIAGEO AMERICAS;25608;Seagrams 7 Crown;6;1750;;;6;116,64;10,5;2,77;-93.801917;43.098696
